Sample	Site	Phase	Treatment	Timepoint	Incubation	Label	delta15N	atom_perc	atom_perc_ex	timesSD	medium_atom_perc_ex	N_ug	g_DW_ind	rate_ng_h	rate_nmol_h
Epiphytes	Ambient	Start	Start	T0	0	Fix_C_+Epi_T0_d	7.348422568	0.369155089	NA	NA	NA	NA	NA	NA	NA
Epiphytes	Ambient	Start	Start	T0	0	Fix_C_+Epi_T0_e	8.332676652	0.369514448	NA	NA	NA	NA	NA	NA	NA
Epiphytes	Ambient	Start	Start	T0	0	Fix_C_+Epi_T0_f	7.828008146	0.36933019	NA	NA	NA	NA	NA	NA	NA
Epiphytes	Ambient	Start	Start	T0	0	Fix_C_+Epi_T0_g	8.755073155	0.369668668	NA	NA	NA	NA	NA	NA	NA
Epiphytes	Ambient	Start	Start	T0	0	Fix_C_+Epi_T0_h	7.984525615	0.369387336	NA	NA	NA	NA	NA	NA	NA
Epiphytes	Ambient	Start	Start	T0	0	Fix_C_+Epi_T0_i	8.106930302	0.369432027	NA	NA	NA	NA	NA	NA	NA
Epiphytes	Ambient	Start	Start	T0	0	Fix_C_+Epi_T0_j	7.077526949	0.369056182	NA	NA	NA	NA	NA	NA	NA
Epiphytes	Ambient	Light	Y	T1	5	Fix_C_L_T1_+Epi_a	8.773132862	0.369675261	0.000333716	1.757817081	17.25963472	1335.416063	0.019933	0	0
Epiphytes	Ambient	Light	Y	T1	5	Fix_C_L_T1_+Epi_b	8.872461256	0.369711527	0.000369981	1.948841313	17.25963472	1591.888592	0.020769	0	0
Epiphytes	Ambient	Light	Y	T1	5	Fix_C_L_T1_+Epi_c	8.066797618	0.369417374	7.58E-05	0.399418535	17.25963472	2505.451318	0.021114	0	0
Epiphytes	Ambient	Light	Y	T1	5	Fix_C_L_T1_+Epi_d	8.299567187	0.36950236	0.000160814	0.847073378	17.25963472	1726.023653	0.020648	0	0
Epiphytes	Ambient	Light	Ctrl	T1	5	Fix_C_L_T1_C1	7.619318187	0.369253996	-8.76E-05	-0.461161456	NA	1649.303546	0.020969	NA	NA
